CouponID,CouponCode,DiscountPercent,StartDate,EndDate,ProviderID
1,DISC1,25,2025-01-01,2025-12-31,881
2,DISC2,44,2025-01-01,2025-12-31,403
3,DISC3,5,2025-01-01,2025-12-31,637
4,DISC4,6,2025-01-01,2025-12-31,97
5,DISC5,15,2025-01-01,2025-12-31,771
6,DISC6,35,2025-01-01,2025-12-31,871
7,DISC7,12,2025-01-01,2025-12-31,493
8,DISC8,15,2025-01-01,2025-12-31,861
9,DISC9,7,2025-01-01,2025-12-31,577
10,DISC10,48,2025-01-01,2025-12-31,551
11,DISC11,23,2025-01-01,2025-12-31,929
12,DISC12,6,2025-01-01,2025-12-31,161
13,DISC13,33,2025-01-01,2025-12-31,794
14,DISC14,7,2025-01-01,2025-12-31,659
15,DISC15,41,2025-01-01,2025-12-31,278
16,DISC16,17,2025-01-01,2025-12-31,94
17,DISC17,27,2025-01-01,2025-12-31,175
18,DISC18,12,2025-01-01,2025-12-31,95
19,DISC19,43,2025-01-01,2025-12-31,836
20,DISC20,44,2025-01-01,2025-12-31,849
21,DISC21,36,2025-01-01,2025-12-31,126
22,DISC22,35,2025-01-01,2025-12-31,536
23,DISC23,31,2025-01-01,2025-12-31,739
24,DISC24,16,2025-01-01,2025-12-31,354
25,DISC25,46,2025-01-01,2025-12-31,996
26,DISC26,30,2025-01-01,2025-12-31,712
27,DISC27,10,2025-01-01,2025-12-31,377
28,DISC28,31,2025-01-01,2025-12-31,247
29,DISC29,32,2025-01-01,2025-12-31,569
30,DISC30,39,2025-01-01,2025-12-31,976
31,DISC31,30,2025-01-01,2025-12-31,280
32,DISC32,47,2025-01-01,2025-12-31,396
33,DISC33,45,2025-01-01,2025-12-31,681
34,DISC34,26,2025-01-01,2025-12-31,663
35,DISC35,6,2025-01-01,2025-12-31,292
36,DISC36,25,2025-01-01,2025-12-31,385
37,DISC37,41,2025-01-01,2025-12-31,397
38,DISC38,5,2025-01-01,2025-12-31,785
39,DISC39,31,2025-01-01,2025-12-31,953
