CouponID,DiscountID
203,419
159,422
152,215
498,394
15,331
348,374
339,40
41,128
321,69
491,128
167,430
426,11
90,495
47,111
178,51
70,155
270,343
443,177
447,456
314,397
311,374
27,90
454,234
412,321
118,340
209,232
214,484
255,412
16,454
275,328
211,485
292,478
336,155
91,18
198,278
380,32
71,329
263,73
265,247
47,10
168,120
3,106
490,376
47,199
172,438
128,318
100,341
125,500
388,41
393,89
45,213
352,303
35,111
335,263
430,272
339,353
184,101
96,389
11,260
266,268
137,187
256,317
441,147
253,28
200,226
3,178
1,8
197,283
412,203
358,391
90,230
113,255
169,346
351,70
1,479
378,460
432,303
26,213
410,133
40,124
333,193
251,498
332,290
326,476
457,415
246,170
411,156
30,444
183,99
43,313
137,20
316,195
237,304
459,140
309,412
337,450
187,303
465,113
207,261
378,73
144,329
483,121
148,434
482,98
53,272
6,92
37,363
400,414
444,426
349,99
12,464
338,299
76,165
221,224
469,456
440,328
198,363
123,49
256,344
409,143
132,124
285,346
497,220
24,247
448,106
22,99
59,463
432,223
119,457
290,393
186,302
60,56
459,257
320,290
463,198
45,271
156,279
100,108
87,256
302,105
470,24
252,278
98,23
26,224
206,183
417,417
498,405
99,113
189,200
340,244
75,81
150,111
274,441
106,319
261,482
285,297
86,488
133,28
470,293
62,63
51,382
207,8
317,56
453,151
178,467
417,107
7,466
318,297
206,180
135,99
49,371
232,164
120,360
491,21
173,326
254,253
196,309
283,191
480,487
17,435
371,335
25,353
496,15
236,104
183,383
451,400
317,13
13,242
156,28
400,60
327,81
117,218
197,453
195,489
433,155
436,388
479,298
80,233
175,422
388,472
270,89
24,492
388,212
125,197
215,41
495,255
40,260
230,442
263,293
135,197
178,88
295,450
303,11
153,446
406,499
109,218
364,404
227,285
372,70
30,203
43,231
432,166
463,207
332,293
271,238
269,215
443,392
464,371
103,206
226,496
23,233
77,160
61,98
333,431
97,155
340,132
333,176
103,421
241,212
29,242
242,169
164,404
218,464
77,89
443,320
91,107
244,188
497,333
88,484
228,494
244,315
228,389
388,407
403,162
269,265
241,4
222,145
399,160
309,38
381,365
119,85
28,403
415,493
493,337
431,70
373,113
251,364
360,430
165,328
190,433
269,230
201,390
380,235
198,7
59,229
452,88
321,359
372,38
315,279
79,37
292,257
105,486
315,224
405,66
435,486
45,497
223,175
459,365
256,439
213,258
370,265
319,262
456,287
382,339
378,108
349,343
411,113
435,230
184,230
384,203
321,41
56,270
89,321
42,348
443,474
4,342
172,316
255,491
260,36
162,421
419,456
114,424
261,373
386,381
87,191
424,498
452,162
116,493
132,397
210,401
460,42
325,221
303,167
17,28
174,129
417,411
7,90
173,72
455,9
157,183
237,298
143,234
337,147
324,259
416,44
453,198
481,123
203,49
225,78
496,302
195,431
255,38
226,427
280,470
132,180
468,323
459,447
140,309
107,317
387,362
356,156
147,159
411,484
234,245
71,132
122,105
175,140
132,265
457,148
492,138
386,67
119,461
300,13
434,353
69,407
281,250
291,259
181,80
213,343
245,490
482,480
126,222
461,292
281,79
313,149
69,294
262,319
411,445
253,38
128,151
413,417
17,113
465,472
413,461
97,179
314,256
345,343
280,73
337,311
484,426
469,264
131,93
247,188
190,238
56,264
135,421
314,193
452,77
20,467
82,492
311,311
75,171
289,279
124,132
221,433
466,300
426,199
151,288
407,444
427,278
191,45
375,97
289,116
24,348
324,436
466,339
96,236
367,89
283,196
6,70
237,440
458,254
97,25
165,154
220,360
99,308
289,310
279,310
390,64
217,47
303,347
382,401
26,183
270,63
64,99
490,123
249,500
370,299
250,137
116,12
47,500
24,129
115,53
262,356
426,444
498,312
382,33
74,495
31,356
5,391
299,9
377,485
275,326
280,115
243,373
177,500
446,292
465,237
15,90
374,206
102,178
330,109
485,246
387,38
236,239
161,27
53,402
442,106
462,297
218,108
338,253
380,241
66,401
399,461
137,280
400,222
168,25
344,226
114,217
112,215
60,325
131,1
236,88
165,77
477,432
470,415
130,420
325,427
13,322
273,415
84,449
133,46
211,290
308,165
50,387
176,119
177,118
114,355
284,160
479,445
