ItemID,ProviderID,ReservationID
304,571,1
547,832,1
580,387,2
732,110,2
345,939,3
585,402,4
737,102,5
566,434,5
459,255,6
614,376,6
964,343,7
922,361,8
410,598,8
585,402,9
658,771,9
291,285,10
266,670,11
362,250,11
878,868,12
184,706,13
127,259,14
270,152,15
782,962,16
843,966,17
163,53,17
271,268,18
132,258,18
518,729,19
578,556,19
369,178,20
329,829,21
307,226,21
913,105,22
696,10,22
824,410,23
967,19,24
223,929,24
719,483,25
189,777,25
265,379,26
447,197,27
624,107,28
172,859,29
273,206,29
537,445,30
956,977,31
19,21,31
538,493,32
602,899,32
12,446,33
21,974,34
405,994,34
14,320,35
877,602,35
409,481,36
130,334,36
32,538,37
521,246,37
573,696,38
967,19,39
648,831,40
32,538,41
481,977,42
237,704,43
157,501,44
572,532,44
867,250,45
506,216,46
26,945,46
731,740,47
694,387,48
509,648,48
69,646,49
362,250,50
927,684,51
863,204,51
820,345,52
464,85,53
503,156,53
741,925,54
977,759,55
337,406,56
247,749,56
233,641,57
624,107,57
552,642,58
789,164,58
672,358,59
609,167,59
226,76,60
120,586,61
833,173,61
246,464,62
629,614,62
549,637,63
170,709,63
824,410,64
992,430,65
422,119,66
601,525,67
452,886,68
111,127,68
562,258,69
971,240,69
11,947,70
709,835,71
29,905,72
389,268,73
317,712,73
84,948,74
330,704,74
562,258,75
594,264,75
867,250,76
314,982,76
673,711,77
325,815,78
927,684,78
938,467,79
774,804,80
560,81,81
688,350,82
764,390,83
929,928,84
335,730,85
246,464,86
833,173,86
964,343,87
548,325,88
719,483,89
940,387,90
103,771,90
720,533,91
190,566,91
516,247,92
604,565,93
296,27,93
239,416,94
90,695,94
880,589,95
608,964,96
61,203,97
534,149,98
851,224,98
417,863,99
66,642,100
256,769,101
177,162,102
571,784,102
490,710,103
806,209,103
106,710,104
557,105,105
768,90,105
484,5,106
111,127,106
357,384,107
164,129,107
669,695,108
246,464,108
170,709,109
922,361,110
431,467,110
811,651,111
142,195,112
738,933,113
847,264,113
577,297,114
445,700,115
394,234,115
590,609,116
592,302,117
209,855,118
960,455,119
289,123,119
858,493,120
559,588,121
738,933,122
673,711,123
354,74,124
684,580,124
498,677,125
219,22,125
48,334,126
700,40,126
134,525,127
863,204,128
506,216,129
674,742,129
23,783,130
608,964,131
270,152,132
869,889,133
287,533,134
984,225,134
285,469,135
890,297,136
657,791,137
362,250,138
479,713,139
151,969,139
486,634,140
825,870,141
112,414,142
727,641,143
496,978,143
751,57,144
760,919,145
955,734,145
479,713,146
958,729,147
51,292,148
551,122,149
703,684,149
630,108,150
673,711,151
370,146,152
475,820,153
679,495,154
553,112,154
136,462,155
131,721,155
418,395,156
493,72,157
251,806,157
282,941,158
245,101,158
66,642,159
788,899,159
168,606,160
255,376,160
603,295,161
534,149,161
661,21,162
895,157,163
870,423,164
72,846,165
733,77,166
783,839,166
378,115,167
909,281,167
372,965,168
475,820,169
504,606,170
452,886,170
249,113,171
215,804,172
701,553,172
403,768,173
641,987,173
290,98,174
449,76,174
648,831,175
442,1,175
818,389,176
668,774,176
223,929,177
367,396,178
273,206,179
518,729,180
797,926,180
720,533,181
329,829,182
459,255,183
358,529,184
39,867,184
35,141,185
253,660,185
466,634,186
898,724,187
711,717,187
419,896,188
623,434,188
850,528,189
922,361,190
239,416,190
837,105,191
603,295,192
623,434,193
740,984,194
650,727,194
709,835,195
497,685,195
242,866,196
665,954,196
224,533,197
891,2,197
613,361,198
72,846,199
179,361,199
424,10,200
39,867,201
121,819,202
622,332,202
957,256,203
733,77,204
865,723,204
661,21,205
64,426,205
123,453,206
629,614,206
891,2,207
548,325,207
960,455,208
563,666,209
822,332,210
692,688,210
422,119,211
671,164,212
600,443,212
274,303,213
57,889,214
873,452,215
939,911,215
392,981,216
500,251,216
271,268,217
995,406,218
831,798,219
281,578,219
36,7,220
899,273,221
838,484,221
183,407,222
649,354,222
122,557,223
781,636,223
954,717,224
686,368,224
197,991,225
865,723,226
352,443,226
831,798,227
313,937,227
845,231,228
452,886,228
270,152,229
423,599,230
955,734,231
546,986,231
864,210,232
86,426,233
473,128,233
919,153,234
944,315,234
904,15,235
707,550,236
994,406,236
61,203,237
378,115,238
948,440,239
572,532,240
887,558,241
47,635,242
172,859,242
934,422,243
256,769,243
269,140,244
71,801,245
872,827,245
982,534,246
176,643,247
35,141,248
230,508,249
74,915,250
26,945,251
648,831,251
153,36,252
470,358,253
760,919,254
949,913,255
179,361,255
251,806,256
247,749,256
579,907,257
937,136,258
681,148,259
924,954,260
157,501,261
175,21,262
167,67,263
123,453,263
275,145,264
42,259,265
860,747,266
142,195,266
278,621,267
495,183,268
761,167,269
541,551,269
45,920,270
23,783,270
276,917,271
820,345,271
257,485,272
708,107,273
445,700,273
652,53,274
607,916,275
886,178,276
475,820,277
600,443,278
725,1,278
848,661,279
920,51,280
323,915,280
689,500,281
17,125,282
793,447,283
740,984,284
894,174,284
469,749,285
840,928,286
166,267,287
886,178,287
219,22,288
591,697,288
715,318,289
297,985,290
324,650,290
455,88,291
54,113,292
77,828,292
394,234,293
772,789,294
628,364,294
936,347,295
427,683,296
300,917,296
147,643,297
422,119,298
980,694,299
638,838,299
121,819,300
270,152,301
780,249,302
995,406,303
624,107,304
51,292,304
646,835,305
963,230,305
995,406,306
791,909,306
346,225,307
463,717,307
270,152,308
280,129,309
121,819,309
860,747,310
239,416,311
391,405,312
960,455,312
427,683,313
856,124,314
187,284,315
229,631,315
964,343,316
612,772,317
223,929,318
702,891,318
997,187,319
630,108,320
307,226,320
149,702,321
791,909,321
258,985,322
797,926,323
152,384,323
150,338,324
672,358,324
363,208,325
424,10,326
207,401,327
531,952,327
661,21,328
787,78,329
388,138,329
255,376,330
648,831,331
719,483,332
393,535,332
676,438,333
298,688,334
735,675,334
25,778,335
837,105,336
9,539,337
899,273,338
789,164,339
467,740,339
600,443,340
369,178,340
161,720,341
756,409,342
980,694,342
865,723,343
501,600,344
30,645,344
495,183,345
649,354,346
790,243,347
532,419,348
929,928,349
56,464,350
687,454,351
224,533,352
862,41,353
113,317,354
573,696,355
52,427,356
839,339,357
116,707,358
203,69,359
524,574,360
108,695,360
118,963,361
913,105,361
108,695,362
477,831,362
436,592,363
293,367,364
1000,37,364
818,389,365
894,174,366
181,253,367
754,506,367
887,558,368
143,797,368
945,395,369
693,683,369
378,115,370
939,911,370
523,337,371
51,292,372
585,402,372
974,48,373
596,859,373
325,815,374
163,53,375
997,187,375
943,752,376
369,178,377
969,157,378
726,519,379
481,977,380
714,584,381
958,729,382
543,906,382
338,979,383
320,585,383
810,323,384
625,444,384
220,222,385
186,599,385
865,723,386
155,226,386
946,939,387
929,928,387
415,537,388
60,376,388
497,685,389
186,599,389
523,337,390
274,303,390
189,777,391
858,493,392
15,552,393
764,390,394
230,508,395
801,211,395
978,944,396
987,71,397
445,700,398
618,769,399
745,780,400
27,52,400
471,875,401
665,954,401
261,903,402
12,446,403
280,129,404
972,979,405
948,440,406
33,230,407
516,247,407
380,610,408
861,525,409
180,200,409
226,76,410
512,116,411
291,285,411
365,710,412
981,277,413
769,532,414
960,455,415
977,759,416
182,100,416
371,951,417
674,742,418
453,826,419
752,797,419
581,903,420
334,120,421
476,127,422
736,457,423
675,848,424
917,13,424
844,953,425
507,541,425
566,434,426
397,690,427
564,640,427
664,552,428
856,124,428
535,484,429
434,41,430
742,688,431
398,123,432
828,751,433
876,189,434
146,235,435
267,551,435
649,354,436
680,354,437
122,557,437
475,820,438
720,533,439
579,907,440
235,228,440
607,916,441
899,273,442
313,937,442
743,718,443
947,775,443
344,911,444
275,145,445
798,476,445
243,135,446
703,684,446
89,419,447
455,88,448
11,947,449
795,340,450
845,231,450
440,629,451
98,128,452
860,747,452
