ReservationID,ReservationDate,NumberOfPeople,Status,ProviderID,TouristID
1,2025-06-20,3,Pending,217,960
2,2025-04-08,6,Pending,765,773
3,2025-09-03,2,Cancelled,619,721
4,2025-04-15,4,Pending,566,330
5,2025-05-25,4,Confirmed,547,665
6,2025-07-03,3,Confirmed,369,526
7,2025-09-12,4,Pending,823,740
8,2025-08-29,3,Pending,380,321
9,2025-07-31,1,Cancelled,885,227
10,2025-03-16,1,Confirmed,567,958
11,2025-10-27,5,Cancelled,428,303
12,2025-03-20,2,Confirmed,236,389
13,2025-10-19,2,Confirmed,564,671
14,2025-12-17,3,Confirmed,782,842
15,2025-09-08,6,Cancelled,758,503
16,2025-08-24,2,Cancelled,815,361
17,2025-03-28,2,Cancelled,560,501
18,2025-04-05,5,Cancelled,981,61
19,2025-09-26,1,Pending,968,838
20,2025-12-09,1,Pending,423,141
21,2025-11-19,2,Pending,725,155
22,2025-01-05,2,Cancelled,467,383
23,2025-01-31,5,Cancelled,683,957
24,2025-11-12,4,Cancelled,500,17
25,2025-01-04,5,Cancelled,422,13
26,2025-01-09,5,Cancelled,282,549
27,2025-05-27,1,Cancelled,833,715
28,2025-12-12,4,Pending,110,941
29,2025-02-19,5,Pending,247,197
30,2025-11-14,5,Confirmed,835,363
31,2025-05-17,4,Pending,383,983
32,2025-07-27,4,Cancelled,250,714
33,2025-04-26,3,Cancelled,848,869
34,2025-02-11,6,Cancelled,778,33
35,2025-02-17,4,Confirmed,387,566
36,2025-09-01,1,Cancelled,10,720
37,2025-03-29,1,Confirmed,866,445
38,2025-11-27,3,Cancelled,879,998
39,2025-02-18,5,Pending,236,217
40,2025-12-21,5,Confirmed,278,48
41,2025-02-08,6,Confirmed,921,557
42,2025-10-16,6,Pending,184,952
43,2025-06-11,1,Pending,602,148
44,2025-12-31,4,Pending,307,167
45,2025-10-16,2,Cancelled,855,870
46,2025-07-19,6,Cancelled,340,394
47,2025-03-13,6,Cancelled,81,513
48,2025-06-27,1,Pending,448,238
49,2025-02-08,3,Cancelled,788,629
50,2025-11-01,4,Confirmed,31,650
51,2025-05-20,4,Confirmed,234,365
52,2025-10-11,4,Confirmed,191,697
53,2025-10-27,6,Confirmed,88,791
54,2025-11-13,3,Pending,731,76
55,2025-02-12,3,Pending,390,729
56,2025-11-21,2,Cancelled,399,325
57,2025-07-04,1,Pending,6,966
58,2025-06-07,4,Confirmed,780,277
59,2025-02-22,2,Pending,192,442
60,2025-08-18,5,Cancelled,525,418
61,2025-02-22,1,Pending,363,568
62,2025-02-17,5,Cancelled,804,333
63,2025-07-17,1,Confirmed,424,398
64,2025-02-13,6,Cancelled,927,249
65,2025-10-20,5,Pending,702,390
66,2025-03-28,2,Confirmed,309,275
67,2025-09-10,2,Pending,172,446
68,2025-05-22,4,Confirmed,496,802
69,2025-02-09,3,Confirmed,967,253
70,2025-11-17,4,Cancelled,632,201
71,2025-08-23,1,Pending,312,7
72,2025-07-22,3,Cancelled,390,824
73,2025-06-18,4,Confirmed,441,836
74,2025-11-30,5,Pending,308,329
75,2025-11-05,6,Pending,491,322
76,2025-04-01,4,Confirmed,299,753
77,2025-12-22,6,Confirmed,991,590
78,2025-05-05,3,Confirmed,288,837
79,2025-07-21,3,Pending,955,578
80,2025-04-13,5,Cancelled,185,699
81,2025-10-09,1,Cancelled,473,966
82,2025-12-29,2,Confirmed,817,299
83,2025-12-21,1,Confirmed,690,512
84,2025-03-13,6,Confirmed,248,259
85,2025-12-04,2,Cancelled,434,809
86,2025-07-13,1,Confirmed,613,491
87,2025-10-26,4,Cancelled,519,946
88,2025-12-21,4,Cancelled,38,810
89,2025-07-04,6,Cancelled,609,654
90,2025-02-13,1,Pending,674,681
91,2025-07-01,2,Cancelled,628,46
92,2025-10-16,6,Cancelled,663,410
93,2025-06-19,4,Pending,11,101
94,2025-05-13,2,Cancelled,765,532
95,2025-10-13,5,Cancelled,590,227
96,2025-08-17,3,Confirmed,475,791
97,2025-12-14,5,Cancelled,513,155
98,2025-06-26,1,Confirmed,108,303
99,2025-08-01,1,Pending,852,964
100,2025-03-14,3,Confirmed,352,467
101,2025-04-16,5,Confirmed,357,488
102,2025-02-19,4,Cancelled,714,464
103,2025-06-13,1,Confirmed,46,830
104,2025-12-30,1,Pending,870,352
105,2025-11-28,1,Cancelled,820,169
