TableNumber,Seats,TableID,ProviderID,ReservationID
16,9,1,158,16749
1,4,2,510,14977
3,6,3,1,799
10,8,4,946,8408
2,10,5,510,19711
18,3,6,978,15546
8,8,7,113,16678
17,7,8,461,11258
5,6,9,908,11912
6,3,10,400,9583
6,2,11,710,3057
4,10,12,52,17211
6,7,13,259,18415
11,4,14,86,2679
5,3,15,986,11950
19,6,16,806,13849
8,5,17,254,18418
4,9,18,992,18656
18,6,19,152,14347
14,2,20,104,15301
15,2,21,909,12303
20,2,22,708,10803
8,5,23,479,2014
4,5,24,389,7449
20,10,25,826,13322
11,3,26,914,8509
7,8,27,257,14082
6,8,28,731,18741
2,7,29,320,11162
6,3,30,604,1320
19,4,31,406,15539
4,4,32,988,10455
18,6,33,12,9671
16,8,34,830,1910
17,5,35,831,886
15,5,36,338,9147
14,2,37,16,15985
19,9,38,723,8332
2,9,39,808,14322
17,7,40,777,12518
9,6,41,857,19474
5,7,42,814,11135
19,5,43,253,8303
18,10,44,391,18606
11,6,45,417,17909
2,2,46,129,5804
1,9,47,433,8994
13,7,48,207,2257
16,7,49,705,11077
19,8,50,137,15519
9,4,51,845,7083
8,6,52,965,4003
5,10,53,708,7883
10,5,54,653,15422
1,5,55,473,11162
6,8,56,889,13659
17,7,57,490,11676
8,3,58,392,19950
4,5,59,637,8615
13,10,60,801,19968
8,5,61,131,15871
13,8,62,958,2890
13,5,63,638,16447
9,10,64,107,3947
15,4,65,792,4875
11,3,66,179,10649
16,6,67,531,3875
12,5,68,184,10082
14,2,69,653,12353
8,10,70,111,17183
1,10,71,339,11500
9,4,72,36,12830
1,5,73,625,12938
2,2,74,723,15912
18,6,75,591,7032
11,2,76,411,3212
16,9,77,186,6714
17,4,78,33,14942
12,3,79,116,7855
10,10,80,794,14105
11,9,81,606,13724
18,3,82,13,7983
6,2,83,141,5349
9,2,84,102,15952
8,4,85,573,2716
11,7,86,777,10102
7,3,87,147,8517
14,9,88,257,310
1,6,89,7,9855
8,9,90,562,3309
10,3,91,120,19132
12,10,92,479,7347
14,2,93,899,13508
8,6,94,41,12161
3,5,95,38,1513
12,9,96,191,7636
19,7,97,211,6133
15,3,98,520,5586
8,5,99,839,4042
14,9,100,122,13717
5,8,101,1000,18040
3,9,102,794,10921
10,10,103,995,3063
10,6,104,837,4238
8,5,105,353,5098
4,7,106,416,1602
5,5,107,688,5505
10,9,108,314,12990
17,9,109,994,18603
5,9,110,88,18051
12,7,111,755,2337
8,9,112,56,6837
12,9,113,910,19643
15,10,114,751,530
18,9,115,519,9499
4,9,116,525,13697
16,5,117,631,7066
14,5,118,585,9862
20,7,119,830,16114
6,2,120,135,1683
7,7,121,168,3976
2,6,122,554,3153
4,6,123,955,13678
17,3,124,249,17495
19,5,125,250,2406
7,10,126,441,6518
10,4,127,221,10602
5,6,128,622,6450
16,3,129,46,9136
4,9,130,408,6110
18,7,131,858,3448
1,5,132,666,222
3,8,133,281,1372
9,2,134,234,15341
13,4,135,119,3623
17,10,136,21,14312
20,2,137,284,8016
17,3,138,111,9963
17,4,139,72,19940
19,3,140,174,3
13,4,141,833,8316
10,3,142,541,10347
1,3,143,685,13654
14,6,144,686,2591
11,2,145,620,12057
16,7,146,396,17265
3,3,147,663,7493
9,5,148,79,11083
8,4,149,616,7282
4,6,150,599,7614
20,4,151,917,16952
5,4,152,213,12027
20,8,153,249,9088
16,4,154,792,14064
6,6,155,858,14571
4,5,156,586,3098
14,7,157,914,5453
15,9,158,878,6528
1,10,159,487,4431
9,2,160,240,12977
10,10,161,769,1324
1,4,162,681,11635
10,2,163,442,8820
13,9,164,433,11988
3,9,165,150,15865
16,7,166,774,7196
6,3,167,135,6658
13,7,168,754,10881
14,6,169,265,3555
9,5,170,5,1023
3,7,171,632,38
7,10,172,187,8323
1,5,173,49,19146
6,4,174,984,16621
8,6,175,207,12655
9,6,176,379,12573
14,5,177,24,19448
2,8,178,437,18707
11,10,179,55,9402
20,6,180,20,12824
14,6,181,319,13371
12,3,182,340,15175
4,9,183,679,18928
5,5,184,52,415
5,10,185,516,6641
9,4,186,934,17576
9,6,187,340,10747
2,9,188,318,5618
20,10,189,146,17854
1,5,190,729,15987
19,6,191,275,988
2,2,192,67,121
11,8,193,544,18910
16,9,194,612,1652
8,8,195,851,8436
20,8,196,312,9879
5,4,197,856,3769
13,8,198,851,17152
20,4,199,712,16386
14,9,200,598,14871
19,5,201,862,9615
17,7,202,635,14172
7,7,203,486,4104
5,5,204,743,2784
11,4,205,793,13195
2,7,206,705,14998
19,6,207,561,2253
11,9,208,327,17370
4,2,209,37,2535
12,6,210,316,15056
12,3,211,184,8557
12,9,212,241,15623
19,10,213,275,16745
2,2,214,151,136
8,4,215,876,16991
16,2,216,453,17119
19,8,217,732,2224
16,10,218,742,7688
5,4,219,383,1902
20,3,220,806,12069
12,9,221,235,5203
6,4,222,189,7946
5,8,223,906,1212
3,9,224,924,11761
10,4,225,403,17395
17,5,226,172,1978
20,3,227,140,8932
5,5,228,319,18099
7,2,229,737,13703
3,10,230,278,10873
13,9,231,148,14367
17,7,232,492,6452
1,4,233,725,6882
19,6,234,571,9545
16,9,235,82,8804
13,9,236,240,6748
19,2,237,638,5044
4,5,238,766,14499
2,3,239,535,6960
6,9,240,269,365
7,3,241,448,19344
10,9,242,818,8786
8,6,243,88,17636
17,3,244,983,11811
15,8,245,853,12163
3,7,246,925,1994
5,3,247,524,13149
9,7,248,623,18356
5,3,249,589,9924
4,7,250,87,15575
14,5,251,524,13387
3,10,252,670,19996
1,10,253,359,9867
1,5,254,908,2019
7,4,255,368,7273
12,7,256,338,19333
20,7,257,201,19578
15,4,258,12,10634
14,2,259,4,13686
10,4,260,3,19866
6,4,261,869,11875
19,9,262,829,8088
20,8,263,475,1551
15,3,264,44,12752
1,3,265,762,2799
8,2,266,230,4449
6,5,267,683,5228
8,7,268,727,9988
8,5,269,705,16187
9,7,270,213,14081
11,8,271,39,4506
13,9,272,722,10219
4,4,273,83,12959
8,10,274,170,8222
11,8,275,942,6115
6,5,276,935,15984
5,6,277,707,17611
9,5,278,586,14014
2,8,279,715,1777
15,5,280,595,2600
1,7,281,975,3135
12,2,282,760,15065
3,2,283,960,17394
3,8,284,776,12137
7,7,285,589,17457
12,3,286,793,11968
7,4,287,64,5592
18,5,288,670,12193
8,6,289,155,9016
20,7,290,10,2624
11,4,291,734,17448
1,2,292,745,13660
9,10,293,944,13403
4,7,294,458,14965
19,5,295,927,6062
9,8,296,726,13116
9,4,297,973,17147
19,8,298,206,17307
20,8,299,522,356
4,4,300,728,13807
13,5,301,852,1775
2,7,302,319,14617
13,6,303,992,5531
10,6,304,315,4651
18,4,305,861,17699
3,10,306,913,6283
5,7,307,373,2700
6,8,308,405,19466
3,9,309,664,17587
6,9,310,161,19846
15,4,311,116,7837
14,2,312,571,12913
14,2,313,173,4232
19,8,314,235,2429
14,7,315,866,1573
4,4,316,282,1954
10,2,317,768,6845
10,3,318,909,15729
14,2,319,681,15996
4,5,320,940,16384
16,9,321,864,7097
17,8,322,305,723
9,9,323,842,1004
9,4,324,45,17814
14,8,325,739,9736
16,10,326,429,6179
12,6,327,256,450
3,4,328,133,12703
20,6,329,121,10630
8,7,330,258,6496
4,10,331,483,420
12,2,332,636,18010
6,4,333,67,13326
5,7,334,931,7275
6,4,335,282,286
17,6,336,650,539
16,6,337,588,6522
17,5,338,272,2621
14,4,339,902,7945
5,7,340,663,4353
17,9,341,283,10101
1,4,342,584,3681
7,5,343,140,4976
16,8,344,878,671
7,4,345,815,4036
19,3,346,949,13460
11,10,347,772,1240
13,6,348,962,6991
17,7,349,809,10869
3,4,350,629,19067
17,8,351,414,7735
4,10,352,700,990
11,10,353,251,276
20,9,354,401,19155
1,6,355,961,12310
7,7,356,24,16317
16,5,357,982,3582
18,10,358,346,7731
15,9,359,371,7863
7,7,360,610,8448
2,7,361,938,7996
7,4,362,661,8711
8,5,363,872,10729
1,8,364,590,17243
10,6,365,250,7147
17,2,366,165,10615
9,9,367,766,2931
6,9,368,999,17816
1,8,369,387,8229
10,10,370,374,13326
16,10,371,707,12349
17,4,372,408,16393
12,7,373,113,4832
16,2,374,758,3124
4,10,375,733,6678
14,2,376,405,7418
16,2,377,806,10502
11,6,378,366,13420
11,3,379,343,8943
3,6,380,181,7230
18,8,381,78,10026
11,2,382,623,9991
4,5,383,654,18187
6,4,384,820,11632
17,3,385,274,1105
3,2,386,999,3575
4,2,387,353,1139
10,6,388,751,5593
18,3,389,430,9996
11,10,390,705,1146
17,3,391,36,13007
8,7,392,366,3312
19,9,393,801,4693
13,5,394,299,8938
12,7,395,427,12189
18,4,396,298,16191
14,10,397,140,10364
18,6,398,366,19308
16,4,399,153,1572
12,2,400,124,2813
13,2,401,23,4587
14,10,402,309,19166
14,9,403,470,16193
14,3,404,599,5793
2,4,405,593,15269
13,5,406,451,14628
11,7,407,853,11839
15,6,408,741,7610
4,5,409,872,12549
13,9,410,901,3020
3,8,411,169,11740
7,7,412,184,4431
20,5,413,996,18311
13,4,414,884,18823
3,10,415,488,19165
7,9,416,349,19869
8,9,417,650,4297
16,7,418,989,3237
7,3,419,799,10719
17,8,420,147,762
16,3,421,999,6735
17,6,422,488,15268
18,7,423,307,1698
15,6,424,931,11326
8,5,425,281,2778
4,4,426,973,7154
14,6,427,843,13322
6,10,428,332,1606
13,8,429,468,5103
1,8,430,979,8708
15,6,431,6,11158
12,2,432,230,15590
11,2,433,128,13414
1,7,434,374,16033
2,6,435,872,15743
17,9,436,685,2065
5,5,437,492,5780
18,9,438,725,7775
12,9,439,411,16995
12,8,440,260,4966
20,8,441,356,6948
20,2,442,635,10248
10,9,443,84,16275
15,6,444,901,3154
14,10,445,433,15990
10,6,446,539,18518
20,8,447,122,11018
4,8,448,15,570
18,2,449,261,9312
7,7,450,755,17554
8,7,451,738,3475
1,2,452,427,15440
2,9,453,643,14145
1,5,454,925,8695
12,5,455,20,1033
15,5,456,288,2873
12,4,457,492,9053
5,3,458,145,17611
4,5,459,206,1939
20,6,460,247,17225
2,3,461,773,17978
2,10,462,504,11528
7,9,463,997,9742
4,4,464,743,13690
1,2,465,951,5290
14,9,466,273,11224
17,8,467,76,17109
19,6,468,134,965
13,4,469,885,9648
18,10,470,468,16452
5,2,471,860,5271
18,4,472,358,6389
14,7,473,815,10419
5,4,474,23,10278
7,10,475,294,17164
2,5,476,9,5704
12,3,477,353,15272
4,8,478,849,2057
20,7,479,732,9755
14,9,480,156,6214
20,2,481,780,9462
10,3,482,560,12029
2,9,483,72,2539
7,10,484,996,6546
12,3,485,267,14292
8,7,486,298,15107
13,7,487,549,9082
18,10,488,801,10578
10,9,489,419,5840
1,8,490,994,18591
8,6,491,799,16724
13,9,492,218,14930
1,4,493,112,19556
16,8,494,815,3956
16,6,495,206,4537
14,6,496,738,2744
16,4,497,820,6072
12,7,498,123,9594
12,10,499,829,16657
11,2,500,128,17781
6,2,501,627,3041
1,3,502,58,5592
13,5,503,891,19097
2,2,504,684,3348
20,2,505,459,7636
19,6,506,575,18247
8,6,507,1,6961
20,2,508,434,29
15,9,509,856,2151
18,9,510,181,19495
16,2,511,195,8514
11,2,512,693,12206
18,10,513,756,5552
2,4,514,257,8263
13,6,515,644,6800
20,9,516,298,5920
5,7,517,503,16114
19,10,518,227,314
10,4,519,107,8994
11,5,520,521,5251
7,5,521,173,2969
7,2,522,71,19453
7,10,523,794,12581
17,4,524,140,13018
15,4,525,253,11257
14,3,526,66,19571
10,5,527,421,3217
10,9,528,834,10735
13,4,529,601,14667
18,10,530,154,8100
12,7,531,968,6861
3,10,532,958,8425
10,6,533,724,12789
20,2,534,307,16861
17,5,535,344,12843
7,6,536,501,3236
14,10,537,660,17272
2,3,538,880,15470
15,3,539,60,17861
14,8,540,376,8531
2,8,541,371,879
2,4,542,203,12121
13,6,543,800,2731
10,2,544,483,14861
4,6,545,877,4696
3,2,546,326,10076
8,7,547,762,2813
7,9,548,103,16613
8,6,549,913,19370
16,4,550,807,5029
20,3,551,61,17918
2,9,552,457,17756
12,10,553,972,10601
20,3,554,695,5711
17,4,555,121,15141
14,8,556,818,1903
8,10,557,891,7728
9,9,558,990,17216
14,4,559,420,8993
14,3,560,739,12984
4,7,561,668,1709
3,10,562,422,706
11,2,563,243,10716
2,2,564,980,16346
18,8,565,71,3162
9,2,566,702,15201
14,9,567,21,7583
10,9,568,22,1118
17,4,569,405,6262
16,6,570,689,13431
10,8,571,156,4449
12,2,572,658,14671
9,9,573,446,5501
3,10,574,858,18813
8,10,575,759,7099
11,5,576,14,2457
13,10,577,803,8348
19,9,578,63,14466
3,4,579,371,15840
11,3,580,106,15003
3,6,581,303,821
7,6,582,183,17585
15,7,583,868,13259
15,5,584,928,3712
4,2,585,128,15241
13,8,586,3,5974
15,3,587,698,4352
14,3,588,353,9079
2,10,589,938,12005
13,3,590,6,7515
19,5,591,306,18334
4,2,592,61,7943
7,6,593,655,11149
7,5,594,114,15591
10,4,595,148,3048
14,7,596,997,19089
17,3,597,87,11833
16,3,598,962,6501
13,9,599,682,17113
20,7,600,254,14501
20,4,601,554,1950
13,5,602,633,12523
18,4,603,268,17106
3,9,604,831,6097
20,9,605,107,7133
3,3,606,697,10731
17,4,607,336,1635
18,6,608,819,6975
9,4,609,96,3844
6,3,610,710,17902
6,10,611,538,5517
19,3,612,266,11461
10,9,613,45,10489
10,5,614,215,5822
3,4,615,329,19312
12,6,616,197,4609
9,6,617,726,7054
20,4,618,179,1954
15,10,619,996,3599
1,7,620,742,974
18,10,621,710,19564
9,2,622,763,17715
3,8,623,644,15117
6,5,624,955,7010
13,5,625,382,3273
2,9,626,223,16811
12,3,627,325,7154
10,5,628,371,13902
16,6,629,74,11301
10,2,630,911,9885
14,3,631,456,9073
12,7,632,420,6403
16,10,633,782,1264
4,10,634,497,3188
11,3,635,233,285
1,8,636,194,9725
2,8,637,819,3164
6,4,638,387,4877
8,8,639,113,17801
4,7,640,450,19452
15,9,641,417,9413
5,5,642,479,17385
17,7,643,38,14841
19,2,644,657,10080
15,7,645,357,5131
7,2,646,800,7973
7,7,647,648,655
4,4,648,234,5478
19,2,649,846,1656
4,3,650,723,5324
9,5,651,287,3480
12,10,652,932,4952
5,3,653,887,5467
3,7,654,78,3392
2,10,655,554,9
20,10,656,580,11258
2,8,657,417,12211
20,5,658,351,12967
4,6,659,888,1920
1,10,660,742,3202
10,7,661,133,18066
13,2,662,413,17557
19,4,663,827,2873
16,6,664,269,16127
1,9,665,258,19666
11,4,666,143,9721
20,6,667,677,19860
18,9,668,409,7510
19,3,669,388,976
2,9,670,405,18640
10,3,671,710,13700
11,10,672,476,868
3,7,673,130,11406
2,8,674,251,11013
10,3,675,650,14204
15,10,676,646,10887
8,2,677,284,9974
11,8,678,477,11299
19,10,679,960,2071
18,8,680,250,4456
10,5,681,204,10442
1,10,682,952,11555
3,3,683,131,15228
9,10,684,946,3280
13,4,685,431,17372
12,4,686,935,809
11,8,687,682,13553
1,7,688,711,18862
19,5,689,150,2109
19,9,690,787,8924
13,7,691,404,6771
17,4,692,381,13399
20,2,693,162,17233
15,8,694,94,14386
14,10,695,96,7250
17,3,696,23,4266
2,10,697,512,10208
2,4,698,975,17454
19,5,699,858,13750
11,2,700,44,8164
3,2,701,545,10358
15,10,702,925,18220
6,7,703,537,8883
5,4,704,20,16790
13,7,705,130,1739
15,9,706,300,17137
13,2,707,185,11585
14,5,708,487,16660
3,3,709,852,12715
19,2,710,701,19924
15,4,711,876,14473
8,4,712,672,16399
12,7,713,863,16129
15,9,714,274,18218
9,2,715,535,11823
6,4,716,537,13664
3,10,717,129,14391
5,8,718,801,213
13,7,719,490,14210
17,4,720,787,19708
14,9,721,151,17148
6,6,722,108,15107
17,8,723,519,1417
9,4,724,540,17662
16,10,725,699,19529
6,7,726,824,18688
17,8,727,910,14417
5,6,728,125,19848
12,6,729,951,4054
12,9,730,72,15570
14,4,731,414,18662
13,9,732,859,5758
18,4,733,369,15914
14,7,734,341,11013
3,6,735,442,11829
20,10,736,235,2136
9,5,737,59,19488
20,7,738,235,5188
4,10,739,591,7767
4,7,740,703,8148
2,7,741,681,16759
13,7,742,270,17823
7,5,743,685,16489
18,2,744,436,16366
4,3,745,505,9328
6,7,746,968,2700
17,8,747,639,15280
11,8,748,388,15541
4,9,749,672,11943
5,6,750,877,1496
20,9,751,717,11490
17,8,752,111,8079
19,5,753,281,15418
9,7,754,840,1395
2,6,755,314,2102
18,7,756,648,1836
1,8,757,38,6346
1,9,758,967,19510
17,6,759,245,12336
8,6,760,539,13090
3,7,761,738,14039
11,10,762,523,15520
