ProviderID,ProviderName,ServiceType,Phone,Address,City
1,Provider1,Hotel,500000001,Street 1,Tel Aviv
2,Provider2,Restaurant,500000002,Street 2,Jerusalem
3,Provider3,Restaurant,500000003,Street 3,Haifa
4,Provider4,Restaurant,500000004,Street 4,Tel Aviv
5,Provider5,Hotel,500000005,Street 5,Ashdod
6,Provider6,Restaurant,500000006,Street 6,Ashdod
7,Provider7,Cafe,500000007,Street 7,Tel Aviv
8,Provider8,Restaurant,500000008,Street 8,Tel Aviv
9,Provider9,Restaurant,500000009,Street 9,Haifa
10,Provider10,Hotel,500000010,Street 10,Ashdod
11,Provider11,Restaurant,500000011,Street 11,Ashdod
12,Provider12,Restaurant,500000012,Street 12,Ashdod
13,Provider13,Cafe,500000013,Street 13,Haifa
14,Provider14,Cafe,500000014,Street 14,Ashdod
15,Provider15,Cafe,500000015,Street 15,Tel Aviv
16,Provider16,Restaurant,500000016,Street 16,Eilat
17,Provider17,Cafe,500000017,Street 17,Jerusalem
18,Provider18,Restaurant,500000018,Street 18,Haifa
19,Provider19,Cafe,500000019,Street 19,Tel Aviv
20,Provider20,Restaurant,500000020,Street 20,Eilat
21,Provider21,Restaurant,500000021,Street 21,Jerusalem
22,Provider22,Cafe,500000022,Street 22,Ashdod
23,Provider23,Cafe,500000023,Street 23,Tel Aviv
24,Provider24,Hotel,500000024,Street 24,Eilat
25,Provider25,Hotel,500000025,Street 25,Tel Aviv
26,Provider26,Cafe,500000026,Street 26,Tel Aviv
27,Provider27,Hotel,500000027,Street 27,Jerusalem
28,Provider28,Hotel,500000028,Street 28,Ashdod
29,Provider29,Cafe,500000029,Street 29,Ashdod
30,Provider30,Restaurant,500000030,Street 30,Tel Aviv
31,Provider31,Restaurant,500000031,Street 31,Haifa
32,Provider32,Cafe,500000032,Street 32,Tel Aviv
33,Provider33,Restaurant,500000033,Street 33,Tel Aviv
34,Provider34,Cafe,500000034,Street 34,Jerusalem
35,Provider35,Cafe,500000035,Street 35,Jerusalem
36,Provider36,Restaurant,500000036,Street 36,Jerusalem
37,Provider37,Cafe,500000037,Street 37,Haifa
38,Provider38,Hotel,500000038,Street 38,Jerusalem
39,Provider39,Hotel,500000039,Street 39,Tel Aviv
40,Provider40,Hotel,500000040,Street 40,Haifa
41,Provider41,Hotel,500000041,Street 41,Haifa
42,Provider42,Restaurant,500000042,Street 42,Eilat
43,Provider43,Cafe,500000043,Street 43,Jerusalem
44,Provider44,Hotel,500000044,Street 44,Ashdod
45,Provider45,Restaurant,500000045,Street 45,Jerusalem
46,Provider46,Restaurant,500000046,Street 46,Haifa
47,Provider47,Restaurant,500000047,Street 47,Jerusalem
48,Provider48,Cafe,500000048,Street 48,Jerusalem
49,Provider49,Restaurant,500000049,Street 49,Haifa
50,Provider50,Hotel,500000050,Street 50,Jerusalem
51,Provider51,Restaurant,500000051,Street 51,Eilat
52,Provider52,Cafe,500000052,Street 52,Eilat
53,Provider53,Restaurant,500000053,Street 53,Jerusalem
54,Provider54,Restaurant,500000054,Street 54,Haifa
55,Provider55,Hotel,500000055,Street 55,Ashdod
56,Provider56,Hotel,500000056,Street 56,Jerusalem
57,Provider57,Hotel,500000057,Street 57,Ashdod
58,Provider58,Cafe,500000058,Street 58,Ashdod
59,Provider59,Cafe,500000059,Street 59,Jerusalem
60,Provider60,Restaurant,500000060,Street 60,Haifa
61,Provider61,Hotel,500000061,Street 61,Eilat
62,Provider62,Restaurant,500000062,Street 62,Tel Aviv
63,Provider63,Restaurant,500000063,Street 63,Haifa
64,Provider64,Hotel,500000064,Street 64,Haifa
65,Provider65,Hotel,500000065,Street 65,Eilat
66,Provider66,Hotel,500000066,Street 66,Tel Aviv
67,Provider67,Cafe,500000067,Street 67,Eilat
68,Provider68,Hotel,500000068,Street 68,Eilat
69,Provider69,Hotel,500000069,Street 69,Jerusalem
70,Provider70,Hotel,500000070,Street 70,Tel Aviv
71,Provider71,Hotel,500000071,Street 71,Tel Aviv
72,Provider72,Hotel,500000072,Street 72,Ashdod
73,Provider73,Cafe,500000073,Street 73,Jerusalem
74,Provider74,Restaurant,500000074,Street 74,Jerusalem
75,Provider75,Cafe,500000075,Street 75,Haifa
76,Provider76,Cafe,500000076,Street 76,Tel Aviv
77,Provider77,Hotel,500000077,Street 77,Jerusalem
78,Provider78,Hotel,500000078,Street 78,Haifa
79,Provider79,Hotel,500000079,Street 79,Tel Aviv
80,Provider80,Hotel,500000080,Street 80,Jerusalem
81,Provider81,Hotel,500000081,Street 81,Ashdod
82,Provider82,Hotel,500000082,Street 82,Haifa
83,Provider83,Restaurant,500000083,Street 83,Jerusalem
84,Provider84,Restaurant,500000084,Street 84,Ashdod
85,Provider85,Hotel,500000085,Street 85,Tel Aviv
86,Provider86,Hotel,500000086,Street 86,Jerusalem
87,Provider87,Cafe,500000087,Street 87,Tel Aviv
88,Provider88,Restaurant,500000088,Street 88,Jerusalem
89,Provider89,Cafe,500000089,Street 89,Haifa
90,Provider90,Restaurant,500000090,Street 90,Haifa
91,Provider91,Hotel,500000091,Street 91,Tel Aviv
92,Provider92,Restaurant,500000092,Street 92,Eilat
93,Provider93,Restaurant,500000093,Street 93,Ashdod
94,Provider94,Restaurant,500000094,Street 94,Haifa
95,Provider95,Hotel,500000095,Street 95,Eilat
96,Provider96,Hotel,500000096,Street 96,Haifa
97,Provider97,Cafe,500000097,Street 97,Ashdod
98,Provider98,Hotel,500000098,Street 98,Eilat
99,Provider99,Restaurant,500000099,Street 99,Ashdod
100,Provider100,Hotel,500000100,Street 100,Haifa
101,Provider101,Hotel,500000101,Street 101,Jerusalem
102,Provider102,Cafe,500000102,Street 102,Jerusalem
103,Provider103,Cafe,500000103,Street 103,Ashdod
104,Provider104,Cafe,500000104,Street 104,Tel Aviv
105,Provider105,Restaurant,500000105,Street 105,Haifa
106,Provider106,Restaurant,500000106,Street 106,Jerusalem
107,Provider107,Restaurant,500000107,Street 107,Ashdod
108,Provider108,Hotel,500000108,Street 108,Haifa
109,Provider109,Hotel,500000109,Street 109,Haifa
110,Provider110,Restaurant,500000110,Street 110,Tel Aviv
111,Provider111,Hotel,500000111,Street 111,Tel Aviv
112,Provider112,Restaurant,500000112,Street 112,Tel Aviv
113,Provider113,Restaurant,500000113,Street 113,Jerusalem
114,Provider114,Restaurant,500000114,Street 114,Ashdod
115,Provider115,Restaurant,500000115,Street 115,Jerusalem
116,Provider116,Hotel,500000116,Street 116,Eilat
117,Provider117,Restaurant,500000117,Street 117,Ashdod
118,Provider118,Restaurant,500000118,Street 118,Ashdod
119,Provider119,Hotel,500000119,Street 119,Eilat
120,Provider120,Restaurant,500000120,Street 120,Eilat
121,Provider121,Cafe,500000121,Street 121,Haifa
122,Provider122,Restaurant,500000122,Street 122,Tel Aviv
123,Provider123,Hotel,500000123,Street 123,Eilat
124,Provider124,Cafe,500000124,Street 124,Eilat
125,Provider125,Cafe,500000125,Street 125,Eilat
126,Provider126,Hotel,500000126,Street 126,Tel Aviv
127,Provider127,Hotel,500000127,Street 127,Tel Aviv
128,Provider128,Restaurant,500000128,Street 128,Eilat
129,Provider129,Hotel,500000129,Street 129,Jerusalem
130,Provider130,Restaurant,500000130,Street 130,Haifa
131,Provider131,Restaurant,500000131,Street 131,Haifa
132,Provider132,Hotel,500000132,Street 132,Eilat
133,Provider133,Restaurant,500000133,Street 133,Eilat
134,Provider134,Restaurant,500000134,Street 134,Jerusalem
135,Provider135,Cafe,500000135,Street 135,Haifa
136,Provider136,Restaurant,500000136,Street 136,Eilat
137,Provider137,Hotel,500000137,Street 137,Tel Aviv
138,Provider138,Restaurant,500000138,Street 138,Ashdod
139,Provider139,Restaurant,500000139,Street 139,Tel Aviv
140,Provider140,Restaurant,500000140,Street 140,Haifa
141,Provider141,Cafe,500000141,Street 141,Eilat
142,Provider142,Cafe,500000142,Street 142,Haifa
143,Provider143,Cafe,500000143,Street 143,Tel Aviv
144,Provider144,Restaurant,500000144,Street 144,Eilat
145,Provider145,Restaurant,500000145,Street 145,Eilat
146,Provider146,Cafe,500000146,Street 146,Eilat
147,Provider147,Cafe,500000147,Street 147,Eilat
148,Provider148,Hotel,500000148,Street 148,Ashdod
149,Provider149,Hotel,500000149,Street 149,Eilat
150,Provider150,Restaurant,500000150,Street 150,Haifa
151,Provider151,Cafe,500000151,Street 151,Haifa
152,Provider152,Restaurant,500000152,Street 152,Ashdod
153,Provider153,Hotel,500000153,Street 153,Ashdod
154,Provider154,Restaurant,500000154,Street 154,Jerusalem
155,Provider155,Restaurant,500000155,Street 155,Tel Aviv
156,Provider156,Hotel,500000156,Street 156,Eilat
157,Provider157,Hotel,500000157,Street 157,Ashdod
158,Provider158,Restaurant,500000158,Street 158,Tel Aviv
159,Provider159,Hotel,500000159,Street 159,Tel Aviv
160,Provider160,Restaurant,500000160,Street 160,Tel Aviv
161,Provider161,Hotel,500000161,Street 161,Tel Aviv
162,Provider162,Hotel,500000162,Street 162,Haifa
163,Provider163,Cafe,500000163,Street 163,Tel Aviv
164,Provider164,Hotel,500000164,Street 164,Haifa
165,Provider165,Hotel,500000165,Street 165,Ashdod
166,Provider166,Restaurant,500000166,Street 166,Ashdod
167,Provider167,Restaurant,500000167,Street 167,Eilat
168,Provider168,Hotel,500000168,Street 168,Ashdod
169,Provider169,Hotel,500000169,Street 169,Ashdod
170,Provider170,Cafe,500000170,Street 170,Jerusalem
171,Provider171,Restaurant,500000171,Street 171,Jerusalem
172,Provider172,Restaurant,500000172,Street 172,Jerusalem
173,Provider173,Cafe,500000173,Street 173,Haifa
174,Provider174,Hotel,500000174,Street 174,Jerusalem
175,Provider175,Cafe,500000175,Street 175,Jerusalem
176,Provider176,Restaurant,500000176,Street 176,Tel Aviv
177,Provider177,Cafe,500000177,Street 177,Ashdod
178,Provider178,Hotel,500000178,Street 178,Tel Aviv
179,Provider179,Restaurant,500000179,Street 179,Ashdod
180,Provider180,Restaurant,500000180,Street 180,Ashdod
181,Provider181,Cafe,500000181,Street 181,Haifa
182,Provider182,Cafe,500000182,Street 182,Tel Aviv
183,Provider183,Restaurant,500000183,Street 183,Jerusalem
184,Provider184,Cafe,500000184,Street 184,Haifa
185,Provider185,Cafe,500000185,Street 185,Ashdod
186,Provider186,Hotel,500000186,Street 186,Jerusalem
187,Provider187,Hotel,500000187,Street 187,Ashdod
188,Provider188,Restaurant,500000188,Street 188,Ashdod
189,Provider189,Cafe,500000189,Street 189,Tel Aviv
190,Provider190,Restaurant,500000190,Street 190,Jerusalem
191,Provider191,Restaurant,500000191,Street 191,Tel Aviv
192,Provider192,Hotel,500000192,Street 192,Ashdod
193,Provider193,Restaurant,500000193,Street 193,Jerusalem
194,Provider194,Cafe,500000194,Street 194,Ashdod
195,Provider195,Restaurant,500000195,Street 195,Jerusalem
196,Provider196,Restaurant,500000196,Street 196,Jerusalem
197,Provider197,Hotel,500000197,Street 197,Eilat
198,Provider198,Cafe,500000198,Street 198,Tel Aviv
199,Provider199,Restaurant,500000199,Street 199,Eilat
200,Provider200,Cafe,500000200,Street 200,Tel Aviv
201,Provider201,Restaurant,500000201,Street 201,Jerusalem
202,Provider202,Restaurant,500000202,Street 202,Jerusalem
203,Provider203,Restaurant,500000203,Street 203,Eilat
204,Provider204,Hotel,500000204,Street 204,Eilat
205,Provider205,Hotel,500000205,Street 205,Tel Aviv
