country,percent,DiscountID
United States,29,1
Brazil,1,2
China,30,3
China,10,4
United States,42,5
China,8,6
Japan,36,7
China,29,8
United States,40,9
Japan,36,10
Japan,2,11
China,29,12
Japan,11,13
Brazil,8,14
China,47,15
China,9,16
China,47,17
China,23,18
United States,1,19
Brazil,1,20
China,21,21
United States,36,22
China,45,23
Canada,13,24
China,27,25
Israel,17,26
China,48,27
Japan,17,28
China,13,29
China,25,30
China,48,31
China,4,32
China,24,33
China,3,34
China,37,35
Brazil,25,36
Japan,23,37
China,23,38
Brazil,23,39
Brazil,26,40
Germany,7,41
China,38,42
Japan,2,43
China,38,44
Brazil,49,45
Canada,34,46
Canada,18,47
China,40,48
China,42,49
China,15,50
Japan,40,51
China,46,52
China,17,53
Japan,35,54
Brazil,40,55
Brazil,26,56
China,47,57
China,27,58
China,8,59
China,47,60
China,8,61
Brazil,32,62
France,8,63
China,25,64
United States,22,65
France,41,66
China,50,67
China,20,68
Canada,11,69
China,40,70
Japan,30,71
China,16,72
China,7,73
China,29,74
China,14,75
France,16,76
China,14,77
China,50,78
China,22,79
Brazil,23,80
France,9,81
France,8,82
China,17,83
China,32,84
China,30,85
Canada,27,86
Japan,4,87
China,48,88
China,7,89
Japan,20,90
France,12,91
China,43,92
Brazil,21,93
Japan,50,94
France,6,95
Canada,16,96
Japan,4,97
China,28,98
China,13,99
Japan,27,100
Brazil,14,101
Japan,26,102
Israel,7,103
China,40,104
United States,28,105
United States,43,106
France,26,107
Spain,47,108
France,34,109
China,36,110
China,1,111
France,25,112
China,11,113
China,21,114
China,6,115
China,21,116
Brazil,25,117
China,15,118
China,40,119
China,50,120
France,13,121
China,42,122
China,10,123
China,14,124
China,31,125
Israel,1,126
China,11,127
China,25,128
China,37,129
China,16,130
China,1,131
Brazil,50,132
China,47,133
China,16,134
Brazil,6,135
China,15,136
Brazil,1,137
France,6,138
Germany,48,139
Canada,25,140
China,40,141
France,6,142
Canada,44,143
China,26,144
China,9,145
China,17,146
China,46,147
Spain,9,148
China,40,149
China,42,150
China,31,151
China,17,152
China,39,153
China,19,154
China,42,155
Brazil,43,156
United States,40,157
China,26,158
France,12,159
China,31,160
China,25,161
Brazil,44,162
Japan,40,163
China,33,164
China,22,165
China,36,166
China,45,167
China,22,168
China,50,169
United States,23,170
France,24,171
China,35,172
Brazil,14,173
China,16,174
China,30,175
China,32,176
China,27,177
Japan,39,178
China,11,179
Germany,24,180
France,20,181
Brazil,38,182
Brazil,13,183
China,18,184
China,38,185
Brazil,3,186
China,50,187
China,12,188
China,2,189
China,26,190
China,19,191
Brazil,21,192
China,5,193
Germany,36,194
Brazil,36,195
China,9,196
Brazil,6,197
China,41,198
United States,34,199
China,45,200
China,2,201
China,2,202
Japan,38,203
China,34,204
China,34,205
China,16,206
China,4,207
China,33,208
China,46,209
Spain,10,210
China,14,211
United States,6,212
Israel,28,213
China,18,214
China,13,215
Japan,5,216
China,15,217
France,49,218
France,2,219
France,34,220
China,34,221
China,23,222
China,41,223
China,48,224
China,17,225
China,8,226
China,38,227
China,28,228
China,21,229
China,29,230
United States,2,231
China,20,232
China,2,233
China,13,234
China,21,235
France,32,236
China,6,237
China,25,238
Japan,17,239
China,31,240
France,44,241
China,48,242
China,18,243
China,18,244
United States,31,245
France,18,246
Israel,36,247
China,45,248
Japan,9,249
United States,12,250
China,49,251
China,17,252
China,8,253
China,16,254
China,14,255
China,43,256
China,11,257
