Language,TouristID
English,1
French,1
Italian,2
French,2
French,3
English,4
English,5
German,5
English,6
Italian,7
Hebrew,8
French,8
German,9
Spanish,9
German,10
Hebrew,10
English,11
French,12
Italian,12
Italian,13
Spanish,14
Italian,15
Spanish,16
Italian,17
German,18
German,19
Spanish,20
German,20
English,21
German,22
Spanish,23
German,23
French,24
Italian,24
French,25
Spanish,26
Spanish,27
Italian,28
French,29
French,30
French,31
Italian,32
Spanish,33
Italian,33
Hebrew,34
Hebrew,35
English,36
Italian,36
Spanish,37
German,38
Italian,39
German,39
Italian,40
English,40
French,41
Hebrew,42
German,43
German,44
Hebrew,44
French,45
Italian,45
French,46
Spanish,46
French,47
German,48
Spanish,49
English,50
Italian,50
Spanish,51
French,52
German,53
French,54
Hebrew,55
Spanish,55
French,56
Italian,56
Italian,57
French,58
German,58
Hebrew,59
Italian,60
Italian,61
Italian,62
French,63
Spanish,64
French,64
Italian,65
Spanish,66
German,66
French,67
Italian,67
French,68
English,68
German,69
French,70
Spanish,71
French,71
Spanish,72
Italian,72
Hebrew,73
French,74
English,74
English,75
Italian,76
Spanish,77
French,77
French,78
Spanish,78
French,79
English,79
German,80
Italian,80
English,81
French,81
Hebrew,82
French,83
Italian,83
Hebrew,84
English,84
Spanish,85
Spanish,86
Spanish,87
English,88
German,88
Hebrew,89
English,90
German,90
Italian,91
Spanish,91
English,92
Italian,92
English,93
Spanish,93
French,94
German,95
Italian,96
Spanish,97
German,97
Spanish,98
French,99
Italian,99
Italian,100
English,100
English,101
English,102
Italian,103
German,104
French,105
Spanish,105
Spanish,106
Hebrew,106
Spanish,107
Italian,107
Spanish,108
English,108
Hebrew,109
Italian,110
Spanish,111
German,111
English,112
Spanish,112
English,113
English,114
Spanish,114
English,115
French,115
German,116
Spanish,116
French,117
Spanish,118
German,118
French,119
German,120
Spanish,120
Hebrew,121
German,122
Italian,122
Italian,123
Spanish,124
Spanish,125
English,125
French,126
Hebrew,126
Hebrew,127
Italian,128
Hebrew,129
Italian,129
German,130
Italian,131
Hebrew,132
French,132
French,133
Italian,133
English,134
German,135
German,136
Italian,137
English,138
German,139
Spanish,140
German,141
Italian,141
Hebrew,142
Italian,143
Italian,144
English,145
German,145
Hebrew,146
French,146
English,147
French,148
German,148
English,149
German,150
Spanish,150
Spanish,151
French,151
Italian,152
German,152
French,153
English,153
Hebrew,154
French,154
German,155
German,156
French,157
Hebrew,158
Italian,158
English,159
Italian,160
French,160
German,161
English,162
Hebrew,163
German,164
German,165
Spanish,166
English,166
English,167
Italian,167
Italian,168
Hebrew,169
German,169
English,170
French,171
Spanish,171
French,172
Spanish,173
Italian,173
Italian,174
French,175
French,176
Italian,177
Hebrew,178
Italian,179
German,179
English,180
German,180
English,181
French,182
Hebrew,183
English,184
Hebrew,184
English,185
Spanish,185
Spanish,186
Italian,187
Hebrew,187
Italian,188
Spanish,189
Italian,189
French,190
Italian,191
Spanish,192
French,193
Hebrew,193
Hebrew,194
German,194
Italian,195
German,196
English,197
Italian,197
Spanish,198
Hebrew,199
German,200
Spanish,201
Italian,201
German,202
Italian,202
English,203
English,204
French,204
French,205
English,205
Spanish,206
German,207
German,208
English,208
German,209
Italian,210
English,211
Spanish,212
German,212
English,213
Italian,214
English,214
Hebrew,215
English,215
French,216
French,217
Spanish,217
German,218
Spanish,219
French,219
Spanish,220
French,221
French,222
Hebrew,223
English,223
Spanish,224
Italian,225
French,225
English,226
Italian,227
Hebrew,227
Hebrew,228
Italian,228
English,229
Hebrew,229
English,230
French,231
Hebrew,231
French,232
German,232
English,233
Italian,234
French,234
English,235
German,236
Hebrew,236
Spanish,237
Hebrew,237
French,238
Hebrew,238
German,239
Spanish,239
English,240
Spanish,241
Italian,242
French,243
English,244
English,245
Hebrew,245
French,246
French,247
English,247
French,248
English,249
Hebrew,249
Spanish,250
French,250
German,251
Hebrew,251
Italian,252
French,252
English,253
German,253
English,254
Hebrew,254
German,255
Italian,255
English,256
English,257
Italian,257
Italian,258
German,258
German,259
Italian,259
Spanish,260
English,261
Spanish,261
English,262
Italian,263
German,263
English,264
Italian,265
German,266
Italian,266
Hebrew,267
Italian,267
Italian,268
German,268
French,269
Italian,270
French,271
English,272
German,272
Italian,273
Spanish,273
French,274
Italian,275
Hebrew,276
French,276
French,277
German,277
English,278
Italian,278
Italian,279
Spanish,280
German,281
Spanish,281
German,282
Hebrew,282
Spanish,283
Spanish,284
Spanish,285
English,286
Italian,287
Hebrew,288
Spanish,288
German,289
Italian,289
English,290
French,291
English,291
Hebrew,292
Italian,293
Spanish,294
German,295
Hebrew,296
German,296
English,297
French,297
French,298
German,299
Spanish,299
French,300
Italian,300
English,301
Spanish,301
Spanish,302
French,303
Italian,303
Italian,304
Spanish,305
Italian,305
Italian,306
Hebrew,307
German,308
Spanish,308
English,309
Hebrew,310
Spanish,311
English,312
Italian,313
Spanish,314
German,314
French,315
Spanish,316
English,316
German,317
English,317
English,318
Italian,319
German,320
Hebrew,320
Hebrew,321
German,321
German,322
Italian,322
German,323
Hebrew,324
Italian,324
French,325
Italian,326
Hebrew,327
French,328
Hebrew,328
Italian,329
French,330
English,331
German,332
Italian,332
French,333
English,334
Italian,334
Hebrew,335
English,336
French,337
English,337
French,338
German,339
Hebrew,340
Spanish,340
German,341
French,341
English,342
French,343
Italian,343
Spanish,344
