ReservationID,ReservationDate,NumberOfPeople,Status,ProviderID,TouristID
1,11/11/2025,9,Cancelled,26,16921
2,11/12/2025,6,Confirmed,265,10530
3,20/01/2026,3,Confirmed,164,12597
4,06/05/2025,16,Cancelled,368,600
5,28/04/2025,3,Confirmed,268,6902
6,20/11/2025,10,Cancelled,306,1148
7,29/07/2025,8,Pending,368,12539
8,05/01/2026,7,Cancelled,439,14798
9,22/03/2026,15,Cancelled,262,17702
10,06/07/2025,5,Confirmed,460,18607
11,12/05/2025,3,Confirmed,70,1592
12,25/03/2026,5,Confirmed,208,15032
13,12/07/2025,20,Pending,23,1070
14,20/09/2025,12,Cancelled,94,11701
15,28/07/2025,6,Pending,110,10171
16,01/04/2026,8,Confirmed,484,136
17,02/10/2025,8,Confirmed,427,15361
18,18/03/2026,17,Confirmed,185,7484
19,15/04/2025,16,Pending,369,10656
20,31/05/2025,19,Cancelled,359,1856
21,06/11/2025,14,Cancelled,271,1185
22,18/02/2026,6,Confirmed,308,16757
23,29/07/2025,6,Confirmed,60,18318
24,16/04/2025,5,Confirmed,349,15949
25,23/08/2025,9,Confirmed,381,4707
26,07/07/2025,20,Confirmed,79,5545
27,23/06/2025,16,Cancelled,131,11535
28,14/02/2026,14,Confirmed,443,17392
29,23/02/2026,12,Cancelled,187,7406
30,19/05/2025,12,Pending,333,12002
31,08/01/2026,4,Cancelled,377,12670
32,04/06/2025,1,Pending,167,18233
33,29/08/2025,17,Cancelled,214,17831
34,09/10/2025,5,Pending,33,18325
35,11/10/2025,20,Cancelled,33,15283
36,27/02/2026,8,Pending,196,74
37,10/09/2025,11,Pending,455,2443
38,27/05/2025,13,Pending,359,16400
39,11/04/2026,17,Cancelled,200,4005
40,08/09/2025,17,Confirmed,238,13690
41,27/06/2025,10,Pending,128,16406
42,04/01/2026,12,Cancelled,488,13139
43,14/08/2025,15,Pending,376,6600
44,27/06/2025,12,Pending,165,10644
45,27/11/2025,7,Cancelled,72,1536
46,20/01/2026,13,Pending,399,8321
47,15/07/2025,14,Cancelled,356,1516
48,20/03/2026,1,Cancelled,240,7829
49,27/08/2025,1,Cancelled,183,7576
50,07/04/2026,15,Confirmed,22,1372
51,21/03/2026,1,Cancelled,172,15912
52,10/12/2025,9,Cancelled,186,722
53,21/06/2025,4,Pending,444,10136
54,18/05/2025,10,Confirmed,22,9413
55,06/03/2026,4,Cancelled,259,759
56,06/09/2025,2,Confirmed,137,7355
57,20/09/2025,5,Cancelled,424,11017
58,08/08/2025,12,Confirmed,273,6387
59,12/08/2025,9,Confirmed,336,12351
60,07/10/2025,14,Confirmed,344,4681
61,05/02/2026,8,Cancelled,39,19388
62,29/06/2025,13,Cancelled,9,1466
63,05/07/2025,4,Confirmed,143,19761
64,03/11/2025,18,Confirmed,447,3320
65,06/08/2025,10,Pending,71,8984
66,07/02/2026,12,Cancelled,434,14858
67,15/05/2025,5,Confirmed,437,13729
68,03/10/2025,7,Cancelled,225,486
69,27/06/2025,1,Confirmed,44,6503
70,07/05/2025,11,Pending,217,15685
71,20/04/2025,9,Pending,217,16775
72,02/06/2025,20,Cancelled,213,1075
73,26/05/2025,6,Pending,132,3022
74,26/11/2025,11,Confirmed,422,7485
75,14/04/2025,18,Pending,348,13920
76,21/06/2025,19,Confirmed,193,1846
77,30/11/2025,1,Pending,500,16145
78,08/06/2025,1,Cancelled,390,1657
79,03/08/2025,18,Cancelled,6,18574
80,01/10/2025,2,Cancelled,231,690
81,26/07/2025,3,Confirmed,329,6219
82,17/11/2025,8,Pending,46,13133
83,20/08/2025,20,Cancelled,160,8170
84,14/02/2026,17,Cancelled,124,5320
85,21/02/2026,20,Confirmed,466,6061
86,15/08/2025,14,Pending,156,19312
87,27/05/2025,3,Cancelled,50,5800
88,17/08/2025,20,Cancelled,411,11914
89,28/11/2025,6,Pending,415,10017
90,17/06/2025,16,Cancelled,291,11043
91,28/02/2026,14,Cancelled,339,13631
92,14/04/2025,7,Pending,338,3405
93,03/07/2025,18,Cancelled,106,4306
94,26/02/2026,8,Pending,368,13465
95,30/06/2025,17,Cancelled,72,4220
96,27/03/2026,20,Cancelled,262,9799
97,24/12/2025,17,Cancelled,192,17742
98,07/03/2026,13,Pending,40,13893
99,26/05/2025,14,Confirmed,494,1953
100,05/09/2025,2,Pending,129,10540
101,06/03/2026,14,Pending,324,1251
102,25/12/2025,14,Confirmed,351,15871
103,21/12/2025,12,Pending,35,14599
104,23/06/2025,18,Pending,283,4771
105,27/11/2025,12,Pending,390,16000
106,01/06/2025,13,Confirmed,94,2070
107,11/04/2026,9,Confirmed,403,19831
108,04/11/2025,7,Confirmed,475,12871
109,25/03/2026,11,Pending,224,7462
110,18/06/2025,6,Pending,434,3703
111,08/08/2025,17,Pending,98,15726
112,03/09/2025,3,Confirmed,67,6924
113,29/07/2025,18,Cancelled,209,9244
114,02/08/2025,5,Cancelled,57,15138
115,18/12/2025,3,Cancelled,47,17405
116,21/07/2025,12,Cancelled,52,12
117,02/07/2025,3,Confirmed,420,5012
118,16/08/2025,15,Pending,462,17475
119,11/02/2026,13,Confirmed,280,5801
120,21/07/2025,15,Confirmed,152,14329
121,20/04/2025,6,Confirmed,1,19871
122,07/11/2025,1,Confirmed,401,4626
123,24/10/2025,8,Confirmed,7,3340
124,09/07/2025,7,Cancelled,277,17238
125,02/03/2026,9,Cancelled,475,19783
126,26/04/2025,4,Confirmed,227,89
127,18/08/2025,12,Cancelled,152,1508
128,31/07/2025,8,Confirmed,262,2433
129,01/01/2026,9,Pending,209,6318
130,24/07/2025,5,Cancelled,418,7493
131,11/06/2025,20,Pending,106,417
132,23/12/2025,12,Cancelled,452,7892
133,29/09/2025,6,Cancelled,39,10438
134,20/04/2025,1,Cancelled,387,5415
135,15/06/2025,1,Pending,182,1583
136,02/12/2025,18,Confirmed,500,9690
137,25/01/2026,19,Confirmed,424,13554
138,05/03/2026,17,Confirmed,210,287
139,04/10/2025,13,Confirmed,312,19682
140,16/10/2025,1,Confirmed,350,12483
141,19/10/2025,4,Cancelled,424,5830
142,15/05/2025,14,Cancelled,48,2452
143,17/05/2025,8,Cancelled,298,15322
144,01/10/2025,20,Confirmed,494,4460
145,28/04/2025,2,Cancelled,133,18585
146,31/05/2025,4,Pending,426,7173
147,04/06/2025,6,Cancelled,423,12352
148,03/11/2025,5,Cancelled,350,532
149,10/08/2025,14,Pending,413,17845
150,20/05/2025,7,Cancelled,500,7460
151,25/06/2025,19,Confirmed,145,319
152,22/12/2025,14,Cancelled,51,2935
153,06/07/2025,18,Confirmed,413,16439
154,26/03/2026,17,Confirmed,157,9721
155,24/03/2026,12,Confirmed,240,13878
156,27/02/2026,14,Pending,399,18768
157,24/12/2025,2,Pending,185,4289
158,23/05/2025,10,Cancelled,347,12575
159,02/09/2025,2,Confirmed,295,10496
160,14/05/2025,6,Cancelled,123,12495
161,18/08/2025,17,Confirmed,63,5729
162,05/06/2025,15,Pending,133,13870
163,14/11/2025,1,Cancelled,364,11253
164,03/02/2026,13,Pending,453,4242
165,17/12/2025,5,Pending,331,16525
166,16/10/2025,10,Cancelled,89,19924
167,09/06/2025,9,Cancelled,334,1295
168,08/03/2026,6,Cancelled,4,8809
169,23/10/2025,1,Cancelled,337,6136
170,06/12/2025,9,Cancelled,102,7748
171,20/04/2025,16,Cancelled,290,19784
172,07/08/2025,4,Pending,126,6703
173,15/10/2025,15,Confirmed,310,11540
174,17/09/2025,12,Confirmed,231,9840
175,24/12/2025,19,Confirmed,303,13576
176,12/11/2025,1,Cancelled,355,14273
177,09/12/2025,10,Cancelled,351,19917
178,04/01/2026,17,Confirmed,476,9973
179,05/09/2025,19,Cancelled,77,2477
180,22/06/2025,10,Pending,253,15449
181,28/08/2025,18,Pending,299,4639
182,03/05/2025,8,Confirmed,56,1188
183,14/10/2025,11,Cancelled,14,11893
184,05/10/2025,12,Cancelled,308,8806
185,12/11/2025,17,Pending,244,10633
