DiscountID,country,percent
1,China,9
2,China,41
3,France,22
4,Japan,17
5,Brazil,5
6,Canada,38
7,Canada,27
8,Brazil,30
9,China,28
10,China,4
11,China,30
12,Canada,4
13,Canada,32
14,China,50
15,China,46
16,China,19
17,China,25
18,Brazil,1
19,China,7
20,United States,9
21,China,44
22,France,47
23,Brazil,46
24,China,47
25,Brazil,25
26,China,22
27,Brazil,3
28,Brazil,42
29,Japan,39
30,China,33
31,China,29
32,China,50
33,Japan,12
34,China,13
35,United States,20
36,Brazil,2
37,France,28
38,China,33
39,China,32
40,United States,36
41,China,20
42,China,39
43,China,32
44,Brazil,7
45,China,37
46,Canada,37
47,United States,35
48,China,15
49,Canada,11
50,Japan,43
51,China,12
52,France,10
53,China,4
54,China,50
55,Japan,37
56,China,20
57,Brazil,33
58,China,7
59,China,38
60,Brazil,13
61,China,11
62,China,21
63,China,21
64,Brazil,22
65,Israel,44
66,China,7
67,China,34
68,Brazil,50
69,France,5
70,China,31
71,China,25
72,France,33
73,China,29
74,China,2
75,Brazil,24
76,China,7
77,Brazil,9
78,China,35
79,China,34
80,China,50
81,China,17
82,China,44
83,France,20
84,China,13
85,China,27
86,China,11
87,Israel,9
88,China,17
89,Brazil,29
90,United States,16
91,China,23
92,China,43
93,France,17
94,China,41
95,China,17
96,Brazil,18
97,France,22
98,China,1
99,China,39
100,Canada,6
101,China,31
102,China,37
103,United States,22
104,China,1
105,China,8
106,China,22
107,China,11
108,France,48
109,China,46
110,China,35
111,China,34
112,France,44
113,China,21
114,China,45
115,France,46
116,China,19
117,China,45
118,China,21
119,United States,46
120,China,41
121,Brazil,1
122,China,41
123,China,40
124,China,27
125,China,42
126,China,34
127,Germany,41
128,China,3
129,China,7
130,China,19
131,China,20
132,China,3
133,Japan,37
134,China,35
135,China,24
136,China,5
137,China,6
138,Brazil,43
139,China,25
140,China,37
141,France,36
142,Brazil,23
143,United States,6
144,China,41
145,China,26
146,China,30
147,Brazil,46
148,China,23
149,Germany,37
150,Japan,6
151,Canada,13
152,China,40
153,Brazil,38
154,China,40
155,China,3
156,France,41
157,China,48
158,China,25
159,China,24
160,Germany,3
161,Brazil,39
162,Israel,21
163,China,13
164,China,6
165,Brazil,32
166,China,14
167,Brazil,25
168,China,31
169,China,38
170,United States,47
171,France,6
172,Brazil,48
173,China,50
174,Brazil,9
175,China,28
176,China,30
177,Brazil,5
178,China,48
179,China,48
180,United States,37
181,Japan,26
182,United States,15
183,China,29
184,China,12
185,France,27
186,China,24
187,China,1
188,China,31
189,China,11
190,Brazil,38
191,China,14
192,China,4
193,China,30
194,Australia,1
195,China,28
196,China,47
197,China,5
198,China,18
199,China,36
200,China,31
201,China,6
202,Japan,30
203,United States,31
204,China,43
205,China,35
206,China,22
207,China,12
208,China,49
209,China,21
210,China,42
211,China,8
212,Brazil,28
213,China,20
214,China,29
215,France,43
216,Brazil,41
217,China,13
218,Brazil,49
219,China,13
220,France,6
221,China,28
222,China,30
223,France,11
224,China,18
225,China,48
226,Brazil,10
227,China,47
228,China,16
229,China,50
230,China,50
231,United States,6
232,China,26
233,France,11
234,China,1
235,China,49
236,China,6
237,China,47
238,France,19
239,Canada,47
240,Japan,13
241,China,3
242,United States,24
243,China,15
244,Brazil,43
245,China,10
246,China,35
247,China,33
248,China,27
249,China,2
250,China,46
251,United States,20
252,China,48
253,China,32
254,China,13
255,Israel,12
256,China,47
257,China,40
258,China,20
259,Israel,33
260,China,16
261,France,17
262,Israel,28
263,China,20
264,Brazil,24
265,France,20
266,China,34
267,China,28
268,China,16
269,China,31
270,China,36
271,China,33
272,China,46
273,Brazil,8
274,China,48
275,United States,40
276,United States,36
277,China,32
278,France,21
279,China,4
280,China,50
281,United States,49
282,Canada,33
283,Brazil,46
284,China,39
285,Brazil,37
286,China,18
287,China,42
288,China,2
289,China,13
290,China,32
291,China,18
292,China,20
293,China,29
294,Canada,16
295,China,37
296,Brazil,10
297,Brazil,2
298,China,6
299,China,28
300,Japan,1
301,China,8
302,China,28
303,Japan,17
304,China,17
305,China,5
306,China,34
307,China,35
308,United States,1
309,China,15
310,China,21
311,Brazil,50
312,China,46
313,China,5
314,China,1
315,China,27
316,France,32
317,China,22
318,China,44
319,China,34
320,Brazil,39
321,Brazil,37
322,China,22
323,China,23
324,China,7
325,Japan,12
326,Australia,19
327,China,39
328,Japan,1
329,China,8
330,China,41
331,United States,35
332,China,27
333,Canada,1
334,China,48
335,China,8
336,Spain,48
337,China,7
338,United States,29
339,United States,42
340,Brazil,28
341,China,27
342,China,6
343,United States,22
344,Brazil,14
345,France,44
346,France,9
347,Japan,4
348,France,43
349,Canada,46
350,France,40
351,Brazil,39
352,Japan,17
353,China,19
354,Brazil,11
355,China,35
356,Brazil,5
357,China,18
358,Brazil,20
359,China,9
360,China,35
361,China,34
362,China,34
363,China,34
364,China,16
365,Brazil,29
366,China,32
367,China,23
368,China,20
369,China,31
370,Brazil,38
371,China,35
372,Brazil,8
373,China,29
374,China,24
375,China,29
376,China,6
377,China,7
378,China,36
379,Israel,46
380,China,17
381,Brazil,21
382,China,31
383,China,12
384,France,25
385,United States,30
386,France,40
387,China,43
388,France,15
389,China,33
390,China,41
391,China,16
392,Brazil,7
393,United States,32
394,China,25
395,China,15
396,China,32
397,China,43
398,China,50
399,China,3
400,China,42
401,Germany,29
402,China,3
403,China,35
404,China,14
405,China,41
406,France,29
407,Canada,19
408,Germany,29
409,Brazil,36
410,China,27
411,China,23
412,China,17
413,China,22
414,China,20
415,China,31
416,Japan,8
417,China,9
418,China,8
419,China,41
420,Brazil,30
421,France,34
422,China,11
423,China,23
424,Brazil,6
425,China,49
426,China,14
427,China,20
428,China,28
429,China,12
430,Canada,36
431,China,45
432,China,29
433,China,39
434,France,40
435,Japan,30
436,France,16
437,Japan,50
438,China,30
439,Germany,34
440,China,4
441,Canada,9
442,China,45
443,France,2
444,China,22
445,Japan,47
446,China,44
447,China,25
448,Japan,11
449,Canada,30
450,China,42
451,Brazil,14
452,France,40
453,France,26
454,China,10
455,Brazil,24
456,China,31
457,France,15
458,China,1
459,China,3
460,China,23
461,China,21
462,Brazil,42
463,Brazil,50
464,China,1
465,Canada,34
466,Germany,44
467,Italy,32
468,Canada,1
469,United States,14
470,China,49
471,Brazil,41
472,Japan,1
473,China,49
474,China,21
475,France,31
476,China,26
477,United States,4
478,Brazil,42
479,China,34
480,United States,47
481,Brazil,38
482,China,2
483,Italy,10
484,China,31
485,China,33
486,China,4
487,Japan,18
488,China,28
489,France,24
490,Canada,19
491,France,16
492,United States,48
493,China,14
494,France,4
495,China,25
496,Japan,22
497,China,23
498,China,35
499,France,24
500,China,12
501,China,16
